"match","application_name","application_id"
"amazon.","Amazon",178
"amazon.com","Amazon",178
"images-amazon.com","Amazon",178
"amazonaws.com","Amazon",178
"amazon-adsystem.com","Amazon",178
".cloudfront.net","Amazon",178
".apple.com","Apple",140
".mzstatic.com","Apple",140
".icloud.com","AppleiCloud",143
"itunes.apple.com","AppleiTunes",145
".cnn.c","CNN",180
".cnn.net","CNN",180
".dropbox.com","DropBox",121
"log.getdropbox.com","DropBox",121
".ebay.","eBay",179
".ebay.com","eBay",179
".ebaystatic.com","eBay",179
".ebaydesc.com","eBay",179
".ebayrtm.com","eBay",179
".ebaystratus.com","eBay",179
".ebayimg.com","eBay",179
"facebook.com","Facebook",119
"fbstatic-a.akamaihd.net","Facebook",119
".fbcdn.net","Facebook",119
"fbcdn-","Facebook",119
".facebook.net","Facebook",119
".google.","Google",126
".gstatic.com","Google",126
".googlesyndication.com","Google",126
".googletagservices.com","Google",126
".2mdn.net","Google",126
".doubleclick.net","Google",126
"googleads.","Google",126
"google-analytics.","Google",126
"googleusercontent.","Google",126
"googleadservices.","Google",126
"googleapis.com","Google",126
"ggpht.com","Google",126
"1e100.net","Google",126
"maps.google.","GoogleMaps",123
"maps.gstatic.com","GoogleMaps",123
".gmail.","GMail",122
"mail.google.","GMail",122
"mail.outlook.com","Hotmail",21
".last.fm","LastFM",134
"msn.com","MSN",68
"netflix.com","NetFlix",133
"nflxext.com","NetFlix",133
"nflximg.com","NetFlix",133
"nflximg.net","NetFlix",133
"nflxvideo.net","NetFlix",133
".skype.","Skype",125
".skypeassets.","Skype",125
".skypedata.","Skype",125
".skypeecs-","Skype",125
".skypeforbusiness.","Skype",125
".lync.com","Skype",125
".tuenti.com","Tuenti",149
".twttr.com","Twitter",120
"twitter.","Twitter",120
"twimg.com","Twitter",120
".viber.com","Viber",144
".cdn.viber.com","Viber",144
"wikipedia.","Wikipedia",176
"wikimedia.","Wikipedia",176
"mediawiki.","Wikipedia",176
"wikimediafoundation.","Wikipedia",176
".whatsapp.","WhatsApp",142
".yahoo.","Yahoo",70
".yimg.com","Yahoo",70
"yahooapis.","Yahoo",70
"youtube.","YouTube",124
"youtu.be.","YouTube",124
"yt3.ggpht.com","YouTube",124
".googlevideo.com","YouTube",124
".ytimg.com","YouTube",124
"youtube-nocookie.","YouTube",124
".vevo.com","Vevo",186
".spotify.","Spotify",156
".pandora.com","Pandora",187
".torproject.org","Tor",163
".kakao.com","KakaoTalk",193
"ttvnw.net","Twitch",195
"static-cdn.jtvnw.net","Twitch",195
"www-cdn.jtvnw.net","Twitch",195
"quickplay.com","QuickPlay",196
".qq.com","QQ",48
".gtimg.com","QQ",48
".weibo.com","Sina(Weibo)",210
".sinaimg.cn","Sina",210
".sinajs.cn","Sina",210
".sina.cn","Sina",210
".sina.com.cn","Sina",210
